cty_code,ons_name,csv_division,note
E10000020,Fakenham ED,Fakenham and The Raynhams,Norfolk 2025 review: renamed (Raynhams absorbed)
E10000020,Gorleston St. Andrews ED,Gorleston,Norfolk 2025 review: renamed
E10000020,Gayton and Nar Valley ED,Nar and Wissey Valleys,Norfolk 2025 review: renamed
E10000020,Yarmouth Nelson and Southtown ED,Yarmouth Nelson and South Town,Norfolk: ONS spelling 'Southtown' vs council 'South Town'
E10000020,Dereham North ED,Dereham North and Scarning,Norfolk 2025 review: Scarning absorbed
E10000020,Caister-on-Sea ED,North Caister and Ormesby,Norfolk 2025 review: 1-into-2 split (also S Caister and Bure)
E10000020,Clavering ED,Loddon,Norfolk 2025 review: Clavering Hundred absorbed into Loddon
E10000020,East Flegg ED,The Fleggs,Norfolk 2025 review: 2-into-1 merge (with West Flegg)
E10000020,West Flegg ED,The Fleggs,Norfolk 2025 review: 2-into-1 merge (with East Flegg)
E10000020,Fincham ED,Watlington and The Fens,Norfolk 2025 review: absorbed into Watlington/Fens
E10000020,Hevingham and Spixworth ED,Coltishall and Spixworth,Norfolk 2025 review: renamed (Coltishall principal village)
E10000020,Hoveton and Stalham ED,Hoveton,Norfolk 2025 review: 1-into-2 split (Hoveton principal; Stalham via S Smallburgh)
E10000020,South Smallburgh ED,Stalham,Norfolk 2025 review: absorbed into Stalham
E10000020,Humbleyard ED,Hethersett,Norfolk 2025 review: Humbleyard Hundred renamed (Hethersett principal)
E10000020,Melton Constable ED,Holt,Norfolk 2025 review: absorbed into Holt (matched)
E10000020,Mundesley ED,North Walsham West and Mundesley,Norfolk 2025 review: 2-into-1 merge (with N Walsham W and Erpingham)
E10000020,North Walsham West and Erpingham ED,North Walsham West and Mundesley,Norfolk 2025 review: principal successor (Erpingham split off)
E10000020,Necton and Launditch ED,Launditch,Norfolk 2025 review: 1-into-2 split (Launditch principal)
E10000020,Yare and All Saints ED,Yare Valley,Norfolk 2025 review: renamed
E10000012,Abbey ED,Colchester Abbey,Essex 2025 review: prefix added
E10000012,Basildon Pitsea ED,Pitsea,Essex 2025 review: prefix dropped
E10000012,Basildon Westley Heights ED,Westley Heights,Essex 2025 review: prefix dropped
E10000012,South Woodham Ferrers ED,Woodham Ferrers,Essex 2025 review: prefix dropped
E10000012,Great Baddow ED,Great Baddow and Galleywood,Essex 2025 review: Galleywood absorbed
E10000012,Maypole ED,Colchester Maypole,Essex 2025 review: prefix added
E10000012,Basildon Laindon Park and Fryerns ED,Gloucester Park,Essex 2025 review: Fryerns absorbed into Gloucester Park (Laindon Park to Laindon Town)
E10000012,Billericay and Burstead ED,Burstead,Essex 2025 review: 1-into-2 split (Burstead principal; Billericay North new)
E10000012,Buckhurst Hill and Loughton South ED,Loughton South and Buckhurst Hill West,Essex 2025 review: 2-into-3 Loughton redraw (issue #14)
E10000012,Chigwell and Loughton Broadway ED,Chigwell and Buckhurst Hill East,Essex 2025 review: 2-into-3 Loughton redraw (issue #14)
E10000012,Loughton Central ED,Loughton North,Essex 2025 review: 2-into-3 Loughton redraw (issue #14)
E10000012,Clacton East ED,Clacton South,Essex 2025 review: renamed
E10000012,Clacton West ED,Clacton West and St Osyth,Essex 2025 review: St Osyth absorbed
E10000012,Drury ED,Colchester St Johns,Essex 2025 review: Drury (E central Colchester) absorbed into St Johns
E10000012,Harlow North ED,Old Harlow,Essex 2025 review: NE Harlow rename
E10000012,Harlow South East ED,Harlow Common and Church Langley,Essex 2025 review: SE Harlow renamed (Church Langley)
E10000012,Harlow West ED,Harlow Pardon and Toddbrook,Essex 2025 review: W Harlow renamed (Pardon/Toddbrook)
E10000012,Heybridge and Tollesbury ED,Maldon Rural South,Essex 2025 review: Tollesbury rural absorbed (Heybridge to Maldon Town and Heybridge)
E10000012,Maldon ED,Maldon Town and Heybridge,Essex 2025 review: town principal
E10000012,Mile End and Highwoods ED,Colchester North,Essex 2025 review: N Colchester renamed
E10000012,Parsons Heath and East Gates ED,Colchester St Johns,Essex 2025 review: E Colchester absorbed into St Johns
E10000012,Rayleigh North ED,Rayleigh West,Essex 2025 review: Rayleigh redraw (N renamed W; S kept)
E10000012,Rochford West ED,Rochford East,Essex 2025 review: Rochford redraw (W renamed E; N/S kept)
E10000012,Southminster ED,Burnham and Southminster,Essex 2025 review: Burnham absorbed
