lad_code,county,division,party,candidate,votes,source
E10000020,Norfolk,Acle,Reform,Justine Thomas,1652,elections.norfolk.gov.uk
E10000020,Norfolk,Attleborough,Reform,Daniel Burcham,1433,elections.norfolk.gov.uk
E10000020,Norfolk,Aylsham,LibDem,Sue Catchpole,1935,elections.norfolk.gov.uk
E10000020,Norfolk,Blofield and Brundall,Green,Jan Davis,1780,elections.norfolk.gov.uk
E10000020,Norfolk,Bowthorpe,Green,Amber Smith,1089,elections.norfolk.gov.uk
E10000020,Norfolk,Breydon,Other,Michael French,1824,elections.norfolk.gov.uk
E10000020,Norfolk,Catton Grove,Reform,Mike Conroy,988,elections.norfolk.gov.uk
E10000020,Norfolk,Clenchwarton and King's Lynn South,Independent,Alexandra Kemp,1076,elections.norfolk.gov.uk
E10000020,Norfolk,Coltishall and Spixworth,LibDem,Dan Roper,1805,elections.norfolk.gov.uk
E10000020,Norfolk,Costessey,Reform,David Henson,1384,elections.norfolk.gov.uk
E10000020,Norfolk,Crome,Reform,Tim Day,1175,elections.norfolk.gov.uk
E10000020,Norfolk,Cromer,LibDem,Tim Adams,2506,elections.norfolk.gov.uk
E10000020,Norfolk,Dereham North and Scarning,Conservative,Alison Webb,1205,elections.norfolk.gov.uk
E10000020,Norfolk,Dereham South,Reform,Robin Hunter-Clarke,1393,elections.norfolk.gov.uk
E10000020,Norfolk,Dersingham,Reform,Lee Jarvis,1451,elections.norfolk.gov.uk
E10000020,Norfolk,Diss and Roydon,Green,Will Porteous,1244,elections.norfolk.gov.uk
E10000020,Norfolk,Docking,Reform,Julie Costley,1508,elections.norfolk.gov.uk
E10000020,Norfolk,Downham Market,Reform,Pat Gould,1418,elections.norfolk.gov.uk
E10000020,Norfolk,Drayton and Horsford,Reform,Jason Butler,1512,elections.norfolk.gov.uk
E10000020,Norfolk,East Depwade,Reform,Joseph Kerrison,1300,elections.norfolk.gov.uk
E10000020,Norfolk,Eaton,LibDem,Brian Watkins,1967,elections.norfolk.gov.uk
E10000020,Norfolk,Elmham and Mattishall,Reform,Paul Carr,1418,elections.norfolk.gov.uk
E10000020,Norfolk,Erpingham,LibDem,Callum Ringer,2048,elections.norfolk.gov.uk
E10000020,Norfolk,Fakenham and The Raynhams,Reform,Robert Jamieson,1317,elections.norfolk.gov.uk
E10000020,Norfolk,Feltwell,Reform,Sue Prigg,1669,elections.norfolk.gov.uk
E10000020,Norfolk,Forehoe,Conservative,Daniel Elmer,1184,elections.norfolk.gov.uk
E10000020,Norfolk,Freebridge Lynn,Reform,Jacqueline Fry,1285,elections.norfolk.gov.uk
E10000020,Norfolk,Gaywood North and Central,LibDem,Rob Colwell,1597,elections.norfolk.gov.uk
E10000020,Norfolk,Gaywood South,Reform,Rob Williams,791,elections.norfolk.gov.uk
E10000020,Norfolk,Gorleston,Other,Barry Gravenell,1581,elections.norfolk.gov.uk
E10000020,Norfolk,Guiltcross,Reform,Jacob Allen,1797,elections.norfolk.gov.uk
E10000020,Norfolk,Hellesdon,Reform,Nick Taylor,1442,elections.norfolk.gov.uk
E10000020,Norfolk,Henstead,LibDem,Jim Webber,1352,elections.norfolk.gov.uk
E10000020,Norfolk,Hethersett,Labour,Ben Weston,1158,elections.norfolk.gov.uk
E10000020,Norfolk,Hingham,Reform,Gary Douglas-Beet,1182,elections.norfolk.gov.uk
E10000020,Norfolk,Holt,LibDem,Andrew Brown,1783,elections.norfolk.gov.uk
E10000020,Norfolk,Hoveton,LibDem,Adam Varley,1833,elections.norfolk.gov.uk
E10000020,Norfolk,King's Lynn North and Central,Reform,Ben Griffin,740,elections.norfolk.gov.uk
E10000020,Norfolk,Lakenham,Green,Tom Ludson,1272,elections.norfolk.gov.uk
E10000020,Norfolk,Launditch,Reform,Tom Dickerson,1798,elections.norfolk.gov.uk
E10000020,Norfolk,Loddon,Conservative,Kay Mason Billig,1483,elections.norfolk.gov.uk
E10000020,Norfolk,Long Stratton,Reform,Karl Catchpole,1517,elections.norfolk.gov.uk
E10000020,Norfolk,Lothingland,Other,Jonathan Wedon,1708,elections.norfolk.gov.uk
E10000020,Norfolk,Magdalen,Other,Kevin Huggins,1788,elections.norfolk.gov.uk
E10000020,Norfolk,Mancroft,Green,Serene Shibli,1718,elections.norfolk.gov.uk
E10000020,Norfolk,Marshland North,Reform,Julian Kirk,1792,elections.norfolk.gov.uk
E10000020,Norfolk,Marshland South,Reform,Tina Kiddell,1463,elections.norfolk.gov.uk
E10000020,Norfolk,Mile Cross,Green,Helena Wysocki,1446,elections.norfolk.gov.uk
E10000020,Norfolk,Nar and Wissey Valleys,Reform,Mike Westman,1595,elections.norfolk.gov.uk
E10000020,Norfolk,Nelson,Green,Paul Neale,2890,elections.norfolk.gov.uk
E10000020,Norfolk,North Caister and Ormesby,Other,Glenn Hurren,2072,elections.norfolk.gov.uk
E10000020,Norfolk,North Coast,Reform,Peter Lawrence,1283,elections.norfolk.gov.uk
E10000020,Norfolk,North Walsham East,LibDem,Lucy Shires,1844,elections.norfolk.gov.uk
E10000020,Norfolk,North Walsham West and Mundesley,LibDem,Mal Gray,1531,elections.norfolk.gov.uk
E10000020,Norfolk,Old Catton,Reform,Mark Tucker,1006,elections.norfolk.gov.uk
E10000020,Norfolk,Reepham,LibDem,David Thomas,1344,elections.norfolk.gov.uk
E10000020,Norfolk,Sewell,Green,Jenny Knight,2346,elections.norfolk.gov.uk
E10000020,Norfolk,Sheringham,LibDem,Liz Withington,2110,elections.norfolk.gov.uk
E10000020,Norfolk,South Caister and Bure,Other,Daniel McGrath,1852,elections.norfolk.gov.uk
E10000020,Norfolk,Sprowston,Reform,Stephen Bailey,1623,elections.norfolk.gov.uk
E10000020,Norfolk,Stalham,Conservative,Matthew Taylor,1701,elections.norfolk.gov.uk
E10000020,Norfolk,Swaffham,Reform,Jaden Lister,1869,elections.norfolk.gov.uk
E10000020,Norfolk,Taverham,Conservative,Stuart Clancy,1617,elections.norfolk.gov.uk
E10000020,Norfolk,The Brecks,Reform,Scott Hussey,2183,elections.norfolk.gov.uk
E10000020,Norfolk,The Fleggs,Other,Jason Hughes,1895,elections.norfolk.gov.uk
E10000020,Norfolk,Thetford East,Reform,Dee Hilton,1385,elections.norfolk.gov.uk
E10000020,Norfolk,Thetford West,Reform,David Bick,1110,elections.norfolk.gov.uk
E10000020,Norfolk,Thorpe Hamlet,Green,Jo Smith,1635,elections.norfolk.gov.uk
E10000020,Norfolk,Thorpe St Andrew,Conservative,Ian Mackie,1434,elections.norfolk.gov.uk
E10000020,Norfolk,Town Close,Green,Maxine Webb,1907,elections.norfolk.gov.uk
E10000020,Norfolk,University,Green,Niall Adams,1192,elections.norfolk.gov.uk
E10000020,Norfolk,Watlington and The Fens,Reform,Olivia Morris,1803,elections.norfolk.gov.uk
E10000020,Norfolk,Watton,Reform,Jack White,1766,elections.norfolk.gov.uk
E10000020,Norfolk,Waveney Valley,Reform,George Boyd,1562,elections.norfolk.gov.uk
E10000020,Norfolk,Wells,Conservative,Victoria Holliday,1428,elections.norfolk.gov.uk
E10000020,Norfolk,Wensum,Green,Ben Price,1740,elections.norfolk.gov.uk
E10000020,Norfolk,West Depwade,Reform,Margaret Thomas,1611,elections.norfolk.gov.uk
E10000020,Norfolk,Woodside,Reform,Wendy Atkinson,1007,elections.norfolk.gov.uk
E10000020,Norfolk,Wroxham,Reform,Ed Matthews,1328,elections.norfolk.gov.uk
E10000020,Norfolk,Wymondham,Conservative,Robert Savage,1433,elections.norfolk.gov.uk
E10000020,Norfolk,Yare and Necton,Reform,Kabeer Kher,2105,elections.norfolk.gov.uk
E10000020,Norfolk,Yare Valley,Reform,Malcolm Latarche,1148,elections.norfolk.gov.uk
E10000020,Norfolk,Yarmouth Nelson and South Town,Other,Callum Ward-Kendall,1357,elections.norfolk.gov.uk
E10000020,Norfolk,Yarmouth North and Central,Other,Steven Grimmer,1533,elections.norfolk.gov.uk
